,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0
45,C,8.0,E,O,1.0,e,A,1.0,c0,3.8903365098260627,44.45155074367383,6.6833256208577145,556.0733333333334,90.0,221.84226496009205,1.9291224662218505,231.00966046071704,0.0,0.0,80.0,3.0,0
46,A,8.1,B,T,0.0,a,A,1.0,c0,4.10834684348133,28.459327855386675,6.820470484025838,1419.293333333333,150.0,271.9723163141469,4.543665018578722,521.0631278172999,0.0,0.0,110.0,6.0,1
47,A,8.0,E,U,1.0,e,A,1.0,c0,4.465776645947426,-10.066576075288607,6.759497480666712,1327.0533333333333,90.0,221.4340176561335,1.4648689690491443,348.2290681409225,0.0,0.0,76.0,3.0,0
48,A,5.0,E,S,1.0,e,A,1.0,c0,3.2920632714508717,33.193936566731985,6.5006547490642665,1635.8533333333332,60.0,180.98588821589283,0.8402627054274804,320.93333660482045,0.0,0.0,80.0,4.0,0
49,A,13.0,E,T,1.0,e,A,1.0,c0,3.743271556546851,9.510497385507929,6.294211566546197,1363.5133333333333,160.0,277.51559398421557,1.7734274650791564,322.2186287931298,0.0,0.0,100.0,7.0,1
50,D,9.1,E,Z,1.0,e,A,1.0,c0,3.8903365098260627,73.15710621240379,7.677970633518457,259.17333333333335,110.0,241.4806819589359,3.691991692246624,361.6187628821256,0.0,0.0,120.0,8.0,0
51,A,6.0,E,O,1.0,f,A,0.0,c0,4.180389699864894,41.08275796536144,6.503929032845115,659.2066666666667,90.0,194.4976299700932,3.3514190719239028,416.9763024104273,0.0,0.0,64.0,4.0,0
52,A,10.0,E,P,1.0,e,E,1.0,c0,4.036000068055038,-3.103631292635612,5.890534697296898,1444.6466666666668,100.0,231.59065874694141,2.4744812587545364,143.31922513992237,0.0,0.0,64.0,4.0,0
53,A,5.0,E,U,1.0,e,A,1.0,c0,4.036000068055038,31.202655682582282,6.643420060114517,1289.96,60.0,178.72563372394342,12.999778781012326,418.1137674568799,0.0,0.0,80.0,4.0,0
54,A,8.0,E,W,1.0,e,A,1.0,c0,3.368447367421272,29.906902515707394,6.45390763294881,1612.5666666666666,90.0,219.59685011822796,2.6441848324422974,339.6258261948732,0.0,0.0,90.0,5.0,0
55,A,10.0,D,U,0.0,b,B,0.0,c0,2.232783690325877,14.182454543223242,5.6861839829315,1647.4333333333334,100.0,232.1101744246837,3.4845611838109263,401.360033909156,0.0,0.0,70.0,5.0,0
56,A,11.0,E,Y,1.0,e,A,1.0,c0,4.323616236300034,13.998764765870847,7.148283162416211,2418.9,130.0,257.6022023495783,4.468113466612693,10.457413857114062,0.0,0.0,120.0,5.0,1
57,A,10.0,B,U,0.0,b,A,0.0,c0,3.669168329250815,21.41194692314297,6.610745579995379,1122.7133333333334,100.0,232.46745421267804,3.686500732250938,66.14621671055417,41.0,0.0,88.0,4.0,0
58,E,6.0,D,Z,0.0,c,A,1.0,c0,2.053159857585979,28.69835640325697,4.23517878703556,255.38,70.0,195.10484224151162,3.720809670441765,479.98400098662523,0.0,0.0,60.0,4.0,0
59,A,8.0,D,U,0.0,b,A,0.0,c0,2.6581622499224706,41.250526943280036,4.638848421388838,1013.5666666666667,90.0,220.20947536423256,3.884371381758747,59.80048988893001,0.0,0.0,80.0,4.0,0
60,A,5.0,D,O,0.0,c,A,0.0,c0,1.960713731797774,32.15915875532379,3.763705342823147,884.5333333333333,60.0,180.05090761294198,2.0270599715709943,51.1047514601065,0.0,11.0,20.0,2.0,0
61,A,3.0,E,Z,1.0,e,A,1.0,c0,3.8903365098260627,22.573535729085254,5.840149491103133,1849.92,40.0,139.45750117389042,-0.09823812353771012,34.173288085173375,0.0,0.0,72.0,2.0,0
62,A,11.0,D,S,0.0,a,C,1.0,?,2.8210805094143114,-8.86498741043144,5.790393770146344,696.38,130.0,257.696002692124,2.6233995592432957,204.060987459591,0.0,0.0,80.0,5.0,0
63,B,8.0,B,P,0.0,b,B,0.0,c0,4.180389699864894,34.09425725154789,6.620294681200979,240.2133333333333,90.0,221.36400462179319,1.5253658183071377,68.7421430447806,0.0,0.0,80.0,5.0,0
64,A,10.0,E,V,1.0,e,A,1.0,c0,5.025324275196795,42.06386850671709,8.032924836463472,1365.0066666666667,100.0,230.37442012977783,2.6635634417656138,174.9660710145431,0.0,0.0,80.0,4.0,1
65,A,5.0,D,Y,0.0,a,A,1.0,c29,2.5753257825576155,31.62124095563395,5.120046011561953,1867.56,60.0,179.4697424804397,1.2492245001855748,187.17397732577038,0.0,0.0,98.0,5.0,0
66,E,12.0,E,Y,1.0,e,A,1.0,c0,4.465776645947426,17.897751241482844,7.356847568841162,797.1,140.0,264.43672196465684,1.3943965506388576,221.0643911841837,0.0,0.0,80.0,3.0,1
67,A,10.0,E,R,1.0,e,A,1.0,c0,4.67720218740084,30.164055942810677,6.572914895828543,1165.1133333333332,100.0,231.42095797384877,3.028329177606875,187.50455750383514,0.0,0.0,90.0,5.0,1
68,A,9.1,D,O,0.0,c,A,0.0,c0,2.320307316307896,27.258100237011384,4.107618579334036,2421.28,110.0,241.06639445435462,3.5216422259507807,492.976849415946,0.0,0.0,80.0,5.0,0
69,A,8.0,E,Y,1.0,f,A,0.0,c0,5.843592061527799,-6.5182745160752456,8.61915678485086,1120.9266666666667,90.0,221.05535829767854,1.8309820291106045,167.5880587767576,0.0,0.0,80.0,3.0,0
70,F,8.0,D,P,0.0,a,B,1.0,c0,2.8210805094143114,-23.906566506607877,5.736004828687014,1082.6933333333334,90.0,219.4159791153228,2.090675253575291,162.01215741281197,16.0,0.0,80.0,4.0,0
71,A,11.0,D,U,0.0,c,C,1.0,c6,2.74005678707146,43.12865490212325,5.279250960293702,1271.0,130.0,258.3185814404088,2.96751459412905,324.0285134199437,0.0,0.0,80.0,5.0,0
72,A,8.0,A,O,0.0,b,B,0.0,c0,4.9560892298442045,-0.05085999144219855,7.751926235686134,1040.3466666666666,90.0,219.83231680407013,0.939077672632713,348.9978828029267,4.0,0.0,40.0,2.0,0
73,A,10.0,D,V,0.0,d,A,1.0,c0,2.4914671858406763,22.505023787471547,5.134616483646635,304.75333333333333,100.0,231.73313937340907,3.1071328856069047,248.48532236873191,0.0,0.0,80.0,3.0,0
74,A,8.1,E,T,1.0,e,A,1.0,c0,4.536484120840085,23.83113570544948,7.770470356179312,2670.866666666667,150.0,272.66031779795645,3.0105005343924747,471.78912483397687,0.0,0.0,72.0,3.0,1
75,A,12.0,D,T,0.0,c,A,0.0,c0,2.6581622499224706,9.55963476769706,4.684222953033304,1239.6133333333332,140.0,264.53914955821153,3.6019710694249283,203.44026515860764,0.0,0.0,80.0,4.0,1
76,A,8.0,E,W,1.0,e,A,1.0,c0,2.4914671858406763,-2.3944337927014825,4.780252854536228,1572.3533333333332,90.0,220.06961299425708,3.514652177221772,349.15938194215,0.0,0.0,80.0,3.0,0
77,D,10.0,E,Z,1.0,e,A,1.0,c0,4.036000068055038,52.56692744794643,6.376006929374012,315.0733333333333,100.0,230.9914283971169,2.612523482766393,167.74760978458897,0.0,0.0,100.0,4.0,0
78,A,10.0,B,O,0.0,d,B,1.0,c0,2.9012967706912964,21.493913261242863,6.681699748235069,734.4266666666666,100.0,231.32321774771881,3.062377664058624,87.35227728020844,0.0,0.0,48.0,3.0,0
79,F,11.0,D,T,0.0,a,A,0.0,c0,2.9012967706912964,33.986101200726715,5.29649921281472,2717.813333333333,130.0,255.523616971458,2.9808347647802687,277.8667562887801,0.0,0.0,80.0,4.0,0
80,A,8.0,D,X,0.0,c,A,1.0,c0,2.1437876348037888,-33.86764369065181,4.062598471168009,788.7066666666667,90.0,221.0940432781858,1.720907093550356,500.4911998365493,0.0,0.0,32.0,0.0,0
81,A,8.0,E,S,1.0,e,A,1.0,c0,3.0595278715659733,49.408235629204206,5.511850179313319,1699.3666666666666,90.0,220.5004606729567,4.0662038134248615,355.6454126823085,0.0,0.0,80.0,4.0,0
82,A,8.0,E,V,1.0,e,B,1.0,c28,4.10834684348133,2.9761899913064664,7.753049595003816,1487.96,90.0,220.66530419119945,2.368912263651381,237.73695043859703,0.0,11.0,80.0,4.0,0
83,A,8.0,B,Y,0.0,b,B,0.0,c0,3.5197170226212404,26.750733727176804,6.264054067113687,3127.04,90.0,221.97712625840768,2.2702850565092287,346.08176167509333,0.0,0.0,50.0,2.0,0
84,D,8.0,E,R,1.0,e,A,1.0,c0,3.44432238911142,27.86050360406393,5.508110457246219,3124.7533333333336,90.0,219.10461580084942,1.9890611111252143,190.4381443611857,0.0,0.0,80.0,6.0,0
85,A,9.0,B,V,0.0,b,A,1.0,c0,3.44432238911142,4.268817549767103,5.383692267039239,1918.006666666667,120.0,249.62023447524467,2.383197767715412,22.817591929697386,0.0,0.0,90.0,4.0,1
86,A,9.1,B,R,0.0,a,A,1.0,c0,4.180389699864894,3.3291749715538543,7.658825449899623,680.98,110.0,241.78663440022945,3.6624036714681054,3.1543392003334536,0.0,0.0,80.0,4.0,1
87,A,9.0,A,Q,0.0,b,A,0.0,c0,3.9633350695784517,17.062393759657517,6.6274758967837375,1036.46,120.0,251.09429704007863,3.3029087510649746,170.18831711469468,0.0,0.0,48.0,2.0,0
88,A,9.1,B,Q,0.0,a,A,0.0,c0,3.669168329250815,29.206997879184453,6.044721083469139,2626.3,110.0,240.6141488194648,3.0884524027271283,510.79973084402314,0.0,0.0,72.0,4.0,0
89,A,8.0,D,V,0.0,a,A,1.0,c0,5.3689025794382905,14.723633338145545,8.562325525658965,640.66,90.0,219.87694939962412,4.646317387877612,119.87729888278469,0.0,0.0,80.0,4.0,0
90,A,8.0,D,Y,0.0,a,B,0.0,c0,3.8903365098260627,46.9365493828545,5.1731755998214455,1861.98,90.0,220.42375349726646,1.4899907389297893,80.16458907015077,0.0,0.0,120.0,4.0,0
